Symbol,Company Name,Price,Market Cap (in M),P/E Ratio,Beta,Volume 52 weeks,Volume 1 month,52 Weeks High,52 Weeks Low,Exchange,Performance (52 weeks),Country,Chiffre d'affaires,Résultat net,Sector,Industry,Price 52 Weeks Ago,Currency,Total assets,EPS Annual,Dividend Per Share Annual,EBITDA CAGR (5y),EBITDA,ROI Annual,Ratio Debt/Equity (Annual),Dividend Yield Indicated Annual
TRNS,Transcat Inc,116.29,1051.5526916893864,74.8157,0.9319894,50909.83794466403,72982.875,147.115,84.45,NASDAQ,0.2113597329359926,US,265590000.0,15106000.0,Industrials,Industrial Distribution,96.0500030517578,USD,25531000.0,1.634,,14.88,36794000.0,5.949999999999999,0.0185,
ACRV,Acrivon Therapeutics Inc,7.18,217.9911341831188,,0.711853,234007.61660079053,74267.79166666667,12.85,3.19,NASDAQ,-0.3818496837186501,US,,-64118000.0,Healthcare,Biotechnology,11.600000381469728,USD,132095000.0,-2.7352,,,-69743000.0,-49.830000000000005,0.0,
COLM,Columbia Sportswear Co,81.835,4781.357487006338,18.8361,0.6283727,461903.9130434783,556895.4166666666,87.23,66.01,NASDAQ,0.0981482138723397,US,3385903104.0,227407008.0,Consumer Cyclical,Apparel Manufacturing,74.54002380371094,USD,1250472000.0,4.0929,1.203,1.65,421724992.0,12.97,0.0,1.4912391
ZCMD,Zhongchao Inc,1.49,12.008726286713287,,-1.479883,361414.4743083004,1164409.6666666667,12.0,1.0,NASDAQ,-0.873368537211364,CN,19433944.0,-11335911.0,Healthcare,Health Information Services,11.699999809265137,USD,,-4.355,,,-4902353.0,-62.95,0.0,
MOVE,Movano Inc,0.3714,36.52522361409192,,1.2164911,151308.1462450593,248723.375,1.4,0.266,NASDAQ,-0.7152893067218348,US,852000.0,-27907000.0,Healthcare,Medical Devices,1.2999999523162842,USD,35058000.0,-0.6339,,,-28069000.0,-837.14,0.0142,
NMIH,NMI Holdings Inc,37.24,2955.05842388137,9.1295,0.6787908,530563.5968379447,554399.5833333334,42.0,25.64,NASDAQ,0.2801513672884084,US,617913984.0,348496992.0,Financial Services,Insurance - Specialty,29.11000061035156,USD,,3.8413,,23.3,496424000.0,13.86,0.2064,
GNTA,Genenta Science SPA,4.5635,81.703059,,-1.1924994,5514.391304347826,28039.20833333333,6.1,2.2,NASDAQ,-0.1998749029430535,IT,,-11645455.0,Healthcare,Biotechnology,5.699999809265137,EUR,,-0.6393,,,-11690489.0,-56.99999999999999,0.0,
ALLR,Allarity Therapeutics Inc,0.1426,6.204359690765926,,3.2902098,2291708.81027668,9179877.458333334,46.6,0.138,NASDAQ,-0.9966251513207106,US,,-12823000.0,Healthcare,Biotechnology,41.59999847412109,USD,,-119.608,,,-16895000.0,-285.88,1.972,
RRBI,Red River Bancshares Inc,49.33,341.0500251195496,9.6682,0.65133953,9616.577075098814,11549.75,58.0,42.78,NASDAQ,-0.0048048295533199,US,104927000.0,32488000.0,Financial Services,Banks - Regional,49.56751251220703,USD,,4.8566,0.3203,8.47,,11.48,0.0,0.7369499
HCKT,Hackett Group Inc,25.555,711.3564919996895,20.4976,0.404137,97656.14229249013,127029.33333333331,27.68,20.23,NASDAQ,0.0902173665163448,US,297424000.0,34749000.0,Technology,Information Technology Services,23.44582748413086,USD,59623000.0,1.2357,0.442,7.93,59527000.0,27.81,0.3631,1.7074118
TELO,Telomir Pharmaceuticals Inc,4.3229,117.847,,-1.4729435,52008.416,26593.83333333333,20.72,3.11,NASDAQ,,US,,-18843532.0,Healthcare,Biotechnology,,USD,,-0.4787,,,,-369.35,0.0294,
KINS,Kingstone Companies Inc,7.235,79.4164768498153,,0.5484708,29762.592885375496,76076.5,8.12,1.045,NASDAQ,5.214790035861029,US,143328128.0,313043.0,Financial Services,Insurance - Property & Casualty,1.1699999570846558,USD,,-0.5735,0.0,,7491193.0,-10.32,0.7316,5.2459
RVSN,Rail Vision Ltd,0.571,9.85790043333333,,4.2919216,2476341.909090909,543863.5833333334,23.37,0.58,NASDAQ,-0.8514579777393669,IL,142000.0,-11148000.0,Industrials,Railroads,3.8239998817443848,USD,,-4.3088,,,-11232000.0,-400.0,0.0,
HCWB,HCW Biologics Inc,0.598,22.315802454090147,,-0.017081764,15476.458498023716,7464.333333333333,2.17,0.571,NASDAQ,-0.7078492980729318,US,3926623.0,-27391652.0,Healthcare,Biotechnology,2.039999961853028,USD,40480371.0,-0.6956,,,-27097156.0,-126.45,0.4683,
